Town,Ceremonial county,Status,Link
Helston,Cornwall,town council1,/wiki/Helston
Hemel Hempstead,Hertfordshire,charter trustees (abolished 1984),/wiki/Hemel_Hempstead
Hemsworth,West Yorkshire,town council1,/wiki/Hemsworth
Hendon,Greater London,borough (1932–1965),/wiki/Hendon
Henley-in-Arden,Warwickshire,market charter,/wiki/Henley-in-Arden
Henley-on-Thames,Oxfordshire,town council1,/wiki/Henley-on-Thames
Hertford,Hertfordshire,town council1,/wiki/Hertford
Hessle,East Riding of Yorkshire,town council,/wiki/Hessle
Hetton,Tyne and Wear,town council1,/wiki/Hetton-le-Hole
Hexham,Northumberland,town council1,/wiki/Hexham
Heywood,Greater Manchester,borough (1881–1974),"/wiki/Heywood,_Greater_Manchester"
Higham Ferrers,Northamptonshire,town council1,/wiki/Higham_Ferrers
Highbridge,Somerset,market charter,"/wiki/Highbridge,_Somerset"
Highworth,Wiltshire,town council,/wiki/Highworth
High Wycombe,Buckinghamshire,charter trustees,/wiki/High_Wycombe
Hinckley,Leicestershire,market charter,/wiki/Hinckley
Hingham,Norfolk,town council,"/wiki/Hingham,_Norfolk"
Hitchin,Hertfordshire,market charter,/wiki/Hitchin
Hoddesdon,Hertfordshire,market charter,/wiki/Hoddesdon
Holbeach,Lincolnshire,market charter,/wiki/Holbeach
Holsworthy,Devon,town council,"/wiki/Holsworthy,_Devon"
Holt,Norfolk,town council,"/wiki/Holt,_Norfolk"
Honiton,Devon,town council1,/wiki/Honiton
Horley,Surrey,town council,/wiki/Horley
Horncastle,Lincolnshire,town council1,"/wiki/Horncastle,_Lincolnshire"
Hornsea,East Riding of Yorkshire,town council1,/wiki/Hornsea
Hornsey,Greater London,borough (1903–1965),/wiki/Hornsey
Horsforth,West Yorkshire,town council,/wiki/Horsforth
Horsham,West Sussex,town council,/wiki/Horsham
Horwich,Greater Manchester,town council1,/wiki/Horwich
Houghton Regis,Bedfordshire,town council,/wiki/Houghton_Regis
Hounslow,Greater London,Borough,/wiki/Hounslow
Howden,East Riding of Yorkshire,town council,/wiki/Howden
Huddersfield,West Yorkshire,borough (1868–1974),/wiki/Huddersfield
Hungerford,Berkshire,town council,/wiki/Hungerford
Hunstanton,Norfolk,town council1,/wiki/Hunstanton
Huntingdon,Cambridgeshire,town council1,/wiki/Huntingdon
Hyde,Greater Manchester,borough (1881–1974),"/wiki/Hyde,_Greater_Manchester"
Hythe,Kent,town council1,"/wiki/Hythe,_Kent"
Ilford,Greater London,borough (1926–1965),/wiki/Ilford
Ilfracombe,Devon,town council1,/wiki/Ilfracombe
Ilkeston,Derbyshire,charter trustees (abolished 1975),/wiki/Ilkeston
Ilkley,West Yorkshire,1,/wiki/Ilkley
Ilminster,Somerset,town council1,/wiki/Ilminster
Immingham,Lincolnshire,town council,/wiki/Immingham
Ingleby Barwick,North Yorkshire,town council,/wiki/Ingleby_Barwick
Ipswich,Suffolk,borough (1835–1974),/wiki/Ipswich
Irthlingborough,Northamptonshire,town council1,/wiki/Irthlingborough
Ivybridge,Devon,town council,/wiki/Ivybridge
Jarrow,Tyne and Wear,borough (1875–1974),/wiki/Jarrow
Keighley,West Yorkshire,town council,/wiki/Keighley
Kempston,Bedfordshire,town council1,/wiki/Kempston
Kendal,Cumbria,town council1,/wiki/Kendal
Kenilworth,Warwickshire,town council1,/wiki/Kenilworth
Kesgrave,Suffolk,town council,/wiki/Kesgrave
Keswick,Cumbria,town council1,"/wiki/Keswick,_Cumbria"
Kettering,Northamptonshire,borough (1938–1974),/wiki/Kettering
